ticker,html_size_mb,markdown_size_mb,markdown_lines,estimated_tables
AAPL,1.45,0.26,2289,5542
ABBV,3.61,0.61,4642,13157
ABT,2.54,0.44,3632,8400
ADBE,2.21,0.43,3747,9042
ADI,2.25,0.45,3762,10477
ADP,2.46,0.43,3663,11813
AMAT,2.12,0.39,3399,9108
AMD,1.99,0.46,3603,6835
AMGN,3.58,0.76,5666,13029
AMZN,1.83,0.35,3145,6081
AVGO,2.57,0.49,3973,11969
AXP,4.89,0.82,6528,20281
BA,3.18,0.57,4818,11243
BAC,12.3,1.64,11305,73272
BKNG,2.34,0.49,3786,9745
BLK,10.52,0.73,5939,9988
BMY,3.74,0.68,5306,13723
BRK-B,10.25,0.69,5551,11111
C,15.91,1.81,14747,37595
CAT,5.82,0.74,5686,27525
CI,4.39,0.72,5252,17836
COP,5.21,0.8,8455,25305
COST,1.37,0.26,2518,5490
CRM,2.34,0.49,4070,10411
CSCO,3.37,0.53,4676,12412
CVX,5.68,0.73,5898,24039
DE,10.25,0.58,6876,11280
DHR,2.74,0.58,4087,10006
DIS,4.01,0.61,5997,15457
ELV,4.05,0.76,5288,14929
GE,3.28,0.56,3533,11811
GILD,2.93,0.55,4112,11311
GOOGL,2.41,0.45,4419,9642
GS,9.62,1.48,13887,28878
HD,2.1,0.42,3546,8413
HON,4.5,0.66,5763,18271
IBM,1.12,0.24,1009,1808
INTC,3.18,0.64,5270,16105
INTU,2.63,0.55,5139,13320
ISRG,2.64,0.68,4791,8338
JNJ,3.49,0.61,4899,14990
JPM,12.25,1.74,16377,49206
KO,3.75,0.76,4897,9802
LIN,3.27,0.5,4397,14021
LLY,3.05,0.57,4063,11018
LMT,2.74,0.56,3667,9476
LOW,2.23,0.39,3483,10711
LRCX,1.79,0.39,3215,6595
MA,2.99,0.6,4974,15012
MCD,2.08,0.37,3285,10090
MDLZ,3.71,0.64,5250,15456
MDT,3.58,0.62,4958,12828
META,2.26,0.57,4058,6920
MMC,3.5,0.61,4995,12172
MRK,4.79,0.84,5085,13275
MS,9.33,1.16,11957,28421
MSFT,7.78,0.4,5052,8551
NEE,4.35,0.74,5421,16162
NFLX,1.94,0.34,2849,8588
NKE,2.66,0.46,3599,6839
NVDA,1.97,0.41,3602,6913
ORCL,6.25,0.48,4520,5624
PANW,2.68,0.54,4184,11655
PEP,3.73,0.6,4778,14651
PFE,5.09,0.91,6470,22325
PG,2.38,0.4,3261,8328
PLD,10.64,0.61,7645,10358
PM,4.1,0.76,5497,13394
QCOM,1.79,0.45,2947,7426
RTX,3.68,0.74,4842,13095
SBUX,2.98,0.5,3888,11407
SCHW,5.59,0.8,6308,17990
SPGI,3.94,0.65,5502,13794
SYK,2.69,0.4,3546,10809
T,3.88,0.56,4846,14803
TJX,2.23,0.36,3116,6314
TMO,2.85,0.45,3634,11887
TMUS,3.85,0.75,6075,29877
TSLA,2.48,0.49,3666,11309
TXN,1.96,0.27,2543,7782
UBER,3.01,0.72,4983,11373
UNH,2.69,0.43,3291,9467
UNP,2.0,0.35,3115,5059
V,2.77,0.54,4115,11698
VRTX,2.6,0.65,4955,8424
VZ,3.76,0.65,5841,16819
WFC,1.48,0.34,1023,3956
WMT,2.23,0.46,3406,9328
XOM,5.7,0.7,5928,31043
